Annual Income,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Home Ownership,Years in current job,Purpose,Tax Liens,Bankruptcies,Number of Credit Problems,Credit Default
1.6303492426853736,0.8041948701568745,4.371602217300505,0.22380816481873134,-0.35430238677159026,-0.3041062681902852,0.7767103031039209,-0.21893240800840794,1,4,2,0,0,0,0
-0.20776127709273837,0.597652115339514,0.23894610528098198,1.188861555529646,-0.3488919736096684,1.0821128171458694,0.2571990050890125,-0.23144770500496747,2,6,0,0,0,0,0
0.026408802683626345,1.2172803797915954,-0.5421401014581031,-0.6343764255220398,-0.3637339132693692,-0.4861259799129497,0.8906076346597621,-0.28150889299120563,1,2,3,0,0,0,0
-0.20776127709273837,1.010737624974235,-0.22970561876246917,0.789181616601482,-0.3676868020601963,1.5688138000180973,0.732546031684309,-0.23144770500496747,1,6,5,0,0,0,1
-0.5287054984967084,-1.26123267801673,-0.7125589102011761,-0.49343147696369694,-0.3649178503235256,-0.5273120493306561,-0.23245223897012593,-0.22240887939634113,2,6,0,0,1,1,0
-0.054420259344579044,-0.4350616587472882,-0.3717212927150301,-0.7601347550804148,-0.3677474461002229,-0.8336072883674157,0.5836927687012041,-0.23631476494807396,1,6,0,0,0,0,1
-1.416353923734389,-0.6416044135646487,-1.3516294429877003,-0.4966187920624556,-0.36533271068825324,-0.3803214184189871,-1.1934274484628553,-0.2286665278946209,2,4,0,0,0,0,0
-0.09948876681275746,0.3911093605221536,1.5880950078303107,1.5097491903252611,-0.36096151584860603,1.865006795612778,1.4574122516644978,4.40546983222034,1,0,0,0,0,0,1
-0.7047459110789404,-1.26123267801673,-1.2380169038256517,-0.5280232202414014,-0.3648813260721459,-0.21988105511401776,-1.1273598440517354,-0.2286665278946209,1,4,0,0,0,0,0
0.6628626020193877,-0.4350616587472882,-0.2155040513672129,-0.5576933740283754,-0.36369669988117104,-0.38211471607142716,-0.5213974317397325,-0.2356194706704873,1,6,2,0,0,0,0
-0.14698935229887222,-0.0219761491125673,-0.6131479384343835,-0.3548770147294231,-0.3611455153791414,0.010199033694039962,-0.6763299871449702,-0.24883006194463347,2,7,0,0,0,0,0
-0.023824117365848996,0.18456660570479316,0.2531476726762383,-0.631657833231922,-0.36381592055076883,-0.37870745053179106,0.8108616222988435,-0.23909594205842052,1,6,0,0,0,0,0
-0.20776127709273837,1.4238231346089558,-0.32911659052926173,0.04456856279442041,-0.35428929317203905,0.5984006636943746,1.6957562751557638,-0.23144770500496747,1,4,0,0,0,0,1
-1.276704604457575,-1.0546899231993696,-0.1586977817861887,-0.8370521679783998,-0.36623479078364946,-0.471480715751356,-1.1732227412951786,-0.2968053670981117,3,6,0,0,0,0,1
0.028510598501596023,1.4238231346089558,-0.30071345573874964,0.12729813851955346,-0.3534485462534879,0.6414398073529357,0.5789544966663065,-0.27664183304809914,2,4,3,0,0,0,1
